user_id,timestamp,device_type,location,age_group,gender,ad_id,content_type,ad_topic,ad_target_audience,click_through_rate,conversion_rate,engagement_level,view_time,cost_per_click,click_through_rate,conversion_rate,ROI
250,2025-08-18 18:34:22,Desktop,Germany,18-24,Female,A1050,Video,Automotive,Family Oriented,0.1267,0.0589,Liked,49,0.65,0.1267,0.0589,4.44
612,2025-04-02 11:47:03,Tablet,Canada,25-34,Female,A9349,Image,Automotive,Students,0.0606,0.0615,Ignored,13,1.17,0.0606,0.0615,1.1
556,2025-12-17 03:50:11,Mobile,UK,25-34,Female,A7425,Text,Fashion,Tech Enthusiasts,0.0388,0.0264,Ignored,14,0.46,0.0388,0.0264,3.47
925,2025-11-16 01:47:34,Mobile,Canada,55+,Male,A9728,Video,Travel,Travel Lovers,0.071,0.0721,Commented,60,0.71,0.071,0.0721,8.02
449,2025-11-26 14:26:39,Desktop,Germany,25-34,Male,A9327,Video,Automotive,Young Adults,0.0966,0.0894,Commented,56,0.77,0.0966,0.0894,7.11
580,2025-01-06 19:35:21,Desktop,USA,25-34,Male,A3336,Image,Health,Fitness Lovers,0.0548,0.0522,Ignored,5,0.75,0.0548,0.0522,3.47
342,2025-05-19 05:53:04,Tablet,Canada,25-34,Female,A2862,Text,Entertainment,Tech Enthusiasts,0.037,0.0421,Viewed,20,0.4,0.037,0.0421,2.28
370,2025-09-10 20:06:33,Mobile,India,18-24,Male,A1750,Image,Fashion,Family Oriented,0.1019,0.0649,Liked,42,0.79,0.1019,0.0649,6.11
910,2025-12-02 01:00:50,Tablet,UK,55+,Female,A5899,Text,Food,Travel Lovers,0.0202,0.0295,Viewed,23,0.51,0.0202,0.0295,0.24
438,2025-11-02 09:48:24,Mobile,Germany,25-34,Female,A5226,Text,Health,Travel Lovers,0.0413,0.0286,Ignored,10,0.5,0.0413,0.0286,2.6
802,2025-11-13 23:44:34,Tablet,UK,25-34,Male,A8394,Text,Health,Travel Lovers,0.0302,0.0264,Ignored,13,0.7,0.0302,0.0264,1.26
491,2025-05-16 02:38:48,Mobile,Germany,55+,Female,A2845,Image,Fashion,Family Oriented,0.0369,0.0545,Commented,64,0.43,0.0369,0.0545,12.65
293,2025-12-27 16:43:37,Tablet,USA,35-44,Male,A2476,Video,Travel,Fitness Lovers,0.0739,0.056,Ignored,7,1.07,0.0739,0.056,2.3
978,2025-02-27 18:52:16,Mobile,UK,35-44,Female,A9313,Video,Fashion,Travel Lovers,0.0782,0.0615,Commented,48,0.64,0.0782,0.0615,4.11
364,2025-11-09 03:49:29,Mobile,UK,35-44,Female,A3350,Image,Entertainment,Tech Enthusiasts,0.0602,0.0615,Liked,32,0.35,0.0602,0.0615,7.04
280,2025-12-10 18:53:54,Tablet,Germany,45-54,Male,A3353,Image,Health,Tech Enthusiasts,0.0353,0.0423,Viewed,15,0.59,0.0353,0.0423,3.68
910,2025-10-08 16:22:38,Desktop,Germany,35-44,Male,A8165,Image,Automotive,Professionals,0.0465,0.0401,Viewed,22,1.22,0.0465,0.0401,0.33
239,2025-08-05 10:33:05,Mobile,USA,18-24,Male,A1739,Image,Entertainment,Fitness Lovers,0.0813,0.0565,Viewed,15,0.2,0.0813,0.0565,5.29
751,2025-08-11 09:18:41,Tablet,USA,18-24,Male,A1084,Text,Fashion,Tech Enthusiasts,0.0331,0.0353,Commented,48,0.55,0.0331,0.0353,4.86
923,2025-12-20 23:12:27,Mobile,India,18-24,Male,A6494,Image,Food,Young Adults,0.1054,0.0598,Viewed,20,0.44,0.1054,0.0598,10.84
406,2025-04-15 18:12:57,Tablet,Germany,45-54,Female,A1147,Video,Health,Fitness Lovers,0.0668,0.0844,Liked,30,0.98,0.0668,0.0844,5.57
920,2025-03-15 17:37:44,Mobile,UK,55+,Female,A2535,Text,Entertainment,Family Oriented,0.0241,0.0395,Viewed,20,0.22,0.0241,0.0395,4.13
683,2025-07-15 23:22:30,Tablet,Germany,25-34,Male,A6098,Video,Automotive,Family Oriented,0.0909,0.0638,Viewed,26,0.89,0.0909,0.0638,0.82
912,2025-08-20 12:02:23,Desktop,Germany,18-24,Male,A8743,Video,Food,Tech Enthusiasts,0.1002,0.0893,Viewed,28,0.35,0.1002,0.0893,9.42
909,2025-12-18 09:57:39,Mobile,India,55+,Female,A5260,Video,Finance,Travel Lovers,0.0678,0.0601,Commented,54,1.19,0.0678,0.0601,4.51
101,2025-08-08 06:04:46,Mobile,USA,25-34,Female,A8622,Video,Food,Fitness Lovers,0.1275,0.0916,Viewed,27,0.43,0.1275,0.0916,13.85
856,2025-05-25 15:08:29,Mobile,UK,18-24,Male,A2805,Video,Food,Travel Lovers,0.1281,0.0823,Liked,42,0.3,0.1281,0.0823,22.31
464,2025-10-13 23:01:07,Tablet,UK,25-34,Male,A3784,Text,Entertainment,Tech Enthusiasts,0.0377,0.0417,Shared,76,0.47,0.0377,0.0417,5.46
784,2025-06-30 01:03:44,Mobile,Germany,35-44,Male,A8799,Image,Automotive,Professionals,0.0586,0.0378,Liked,40,0.78,0.0586,0.0378,0.32
671,2025-06-10 07:21:15,Desktop,USA,55+,Male,A5952,Image,Entertainment,Professionals,0.0404,0.0575,Liked,35,0.4,0.0404,0.0575,2.82
598,2025-09-18 18:05:16,Tablet,Canada,18-24,Male,A1404,Video,Automotive,Students,0.0808,0.0668,Ignored,15,0.9,0.0808,0.0668,2.63
814,2025-07-18 09:13:01,Desktop,India,35-44,Female,A5138,Image,Travel,Travel Lovers,0.041,0.0478,Viewed,30,1.02,0.041,0.0478,1.01
953,2025-11-16 12:37:52,Mobile,UK,35-44,Female,A6978,Image,Fashion,Travel Lovers,0.0541,0.0495,Shared,86,0.63,0.0541,0.0495,3.3
970,2025-11-28 00:53:40,Tablet,USA,35-44,Female,A2141,Video,Electronics,Travel Lovers,0.0588,0.0721,Liked,30,0.81,0.0588,0.0721,5.6
